,Season,Name,Last Name,Followers(k),Age,City,State,Country,Occupation,Outcome,Elimination_Week,Place,Note,Was_Bachelorette
132,1,Rhonda,,,28.0,Woodward,Oklahoma,USA,Commercial Real Estate Agent,Week 3,3,,,0
133,1,Kim,,,24.0,Tempe,Arizona,USA,Nanny,Week 4,4,,,0
134,1,Shannon,Oliver,,24.0,Dallas,Texas,USA,Financial Management Consultant,Week 5,5,,,0
135,1,Amanda,Marsh,,23.0,Chanute,Kansas,USA,Event Planner,Winner,6,,,0
136,2,Brooke,Smith,,22.0,Albertville,Alabama,USA,College Student,Runner-Up,7,,,0
137,2,Amber,,,26.0,Chapel Hill,North Carolina,USA,Psychologist,Week 1,1,,,0
138,2,Camille,,,29.0,Los Angeles,California,USA,Actress,Week 1,1,,,0
139,2,Cari,,,29.0,Granite City,Illinois,USA,3rd Grade Teacher,Week 1,1,,,0
140,2,Christy,,,24.0,Avondale,Arizona,USA,Radiological Technologist,Week 1,1,,,0
141,2,Erin,,,24.0,Houston,Texas,USA,Interior Designer,Week 1,1,,,0
142,2,Fatima,,,22.0,Long Beach,California,USA,College Student,Week 1,1,,,0
143,2,Liangy,,,30.0,Coral Gables,Florida,USA,Paralegal,Week 1,1,,,0
144,2,Lori,,,26.0,Dallas,Texas,USA,Former NBA Cheerleader,Week 1,1,,,0
145,2,Merrilee,,,28.0,Forked River,New Jersey,USA,1st Grade Teacher,Week 1,1,,,0
146,2,Suzi,,,28.0,Richmond,Virginia,USA,Communications Specialist,Week 1,1,,,0
147,2,Dana,,,24.0,Beverly Hills,California,USA,Radio Sales,Week 2,2,,,0
148,2,Erin,,,25.0,Westchester,Pennsylvania,USA,Publications Quality Control,Week 2,2,,,0
149,2,Suzanne,,,33.0,Redondo Beach,California,USA,Flight Attendant,Week 2,2,,,0
150,2,Anindita,,,27.0,New York,New York,USA,Attorney,Week 2,2,,Quit,0
151,2,Frances,,,30.0,San Francisco,California,USA,Strategic Planning Analyst,Week 2,2,,Quit,0
152,2,Christi,,,23.0,Boise,Idaho,USA,Assistant Financial Advisor,Week 3,3,,,0
153,2,Heather,,,24.0,Walnut Creek,California,USA,Marriage Therapy Trainee,Week 3,3,,,0
154,2,Kyla,,,22.0,Midvale,Utah,USA,Airline Supervisor,Week 3,3,,,0
155,2,Shannon,,,26.0,Long Island,New York,USA,Graphic Artist,Week 3,3,,,0
156,14,Ashleigh,Hunt,,25.0,North Potomac,Maryland,USA,Account Manager,Week 4,4,6.0,,0
157,2,Heather,Crawford,,30.0,Dallas,Texas,USA,Flight Attendant,Week 4,4,,,0
158,2,Angela,,,27.0,Kansas City,Missouri,USA,Registered Nurse,Week 5,5,,,0
159,2,Gwen,Gioia,,31.0,Philadelphia,Pennsylvania,USA,Executive Recruiter,Week 6,6,,,0
160,2,Helene,Eksterowicz,,27.0,Gloucester,New Jersey,USA,School Psychologist,Winner,7,,,0
161,5,DeShaun,Warner,,25.0,Phillipsburg,New Jersey,USA,Account manager/sales,Week 1,1,,,0
162,5,Holly,Reeder,,26.0,Tulsa,Oklahoma,USA,Bank representative,Week 1,1,,,0
163,5,Jessica,Kyron,,21.0,Cincinnati,Ohio,USA,Student,Week 1,1,,,0
164,5,Kristin,Clearwater,,25.0,Sausalito,California,USA,Singer,Week 1,1,,,0
165,14,Ali,Fedotowsky,,25.0,Williamstown,Massachusetts,USA,Advertising Account Manager,Week 6,6,4.0,quit,1
166,5,Amber,LaRoux,,27.0,Sunriver,Oregon,USA,Consultant,Week 2,2,,,0
167,5,Anne-Catherine,Labbé,,27.0,Quebec City,Quebec,Canada,Model/make-up artist,Week 2,2,,,0
168,5,Celeste,Creel,,24.0,Ithaca,New York,USA,Model/executive assistant,Week 2,2,,,0
